Taxon	Downstream.5pm	Upstream.5.30am	Downstream.7.30am.day2	Upstream.8am.biof	Upstream.11am.biof	Downstream.8am.biof	Upstream.7.30am.day2	Upstream.5pm.biof	Downstream.5pm.biof	Downstream.11am	Trans.Waller.split	Upstream.2pm.biof	Trans.27.pipe	Upstream.5pm	Upstream.11am	Trans.Hemphill.Split	Upstream.8am	Downstream.5.30am	Downstream.2pm	Trans.105.pipe	Downstream.11am.biof	Downstream.8am	Upstream.2pm	Trans.24th.Street.Weir	Trans.Clark.Field
Unclassified;Other;Other;Other;Other;Other	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.00227848101266	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000253164556962	0.0	0.0
k__Archaea;Other;Other;Other;Other;Other	0.000253164556962	0.000759493670886	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.000126582278481	0.0	0.00518987341772	0.000126582278481	0.000126582278481	0.000126582278481	0.000253164556962	0.000632911392405	0.0	0.0	0.0	0.000126582278481	0.000253164556962	0.000126582278481	0.000379746835443
k__Archaea;p__Crenarchaeota;c__MCG;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000253164556962	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__AK31;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000379746835443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00392405063291	0.0	0.000126582278481	0.0	0.000253164556962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000253164556962	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__	0.000379746835443	0.000253164556962	0.0	0.0	0.0	0.0	0.00113924050633	0.0	0.0	0.000126582278481	0.000632911392405	0.0	0.0224050632911	0.000759493670886	0.000759493670886	0.00101265822785	0.00177215189873	0.000506329113924	0.000253164556962	0.000253164556962	0.0	0.0	0.00101265822785	0.000379746835443	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	0.0	0.0	0.0	0.0	0.0	0.0	0.000126582278481	0.0	0.0	0.0	0.000253164556962	0.0	0.0	0.0	0.0	0.0	0.000379746835443	0.0	0.0	0.0	0.0	0.0	0.000379746835443	0.0	0.000126582278481
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__	0.0	0.000126582278481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000253164556962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
